author,created_at,post_id,text,uri,preprocessed_text,prediction,location,sentiment,disaster_type
jnaneswari1.bsky.social,2025-03-20T00:24:48.261Z,16,"Isn't this aiding/abetting war crimes? US ‘deletes evidence’ of Russia’s kidnap of thousands of Ukrainian children
Researchers at Yale University had been compiling database of alleged Russian war crimes, including abduction of up to 35,000 children www.independent.co.uk/news/world/e... @apnews.com",at://did:plc:ht2scbde3p3fzqi6mfrysc76/app.bsky.feed.post/3lkrgpa3gvk27,isnt aidingabetting war crime u deletes evidence russia kidnap thousand ukrainian child researcher yale university compiling database alleged russian war crime including abduction 35000 child wwwindependentcouknewsworlde com,Crisis,Russia,0.8016,societal crime
lynieb.bsky.social,2025-03-20T00:24:46.436Z,19,"Spring break warning: Students, faculty advised to postpone international travel plans

www.usatoday.com/story/travel...",at://did:plc:dflkmefl5dqqgnempswfg5jb/app.bsky.feed.post/3lkrgp6dpp22r,spring break warning student faculty advised postpone international travel plan wwwusatodaycomstorytravel,Crisis,Spring,-0.5106,wildfire
tarazardk.bsky.social,2025-03-20T00:25:03.567Z,44,"A lot of the water sustaining southern California, San diego and the eastern LA basin do not come from the CA aquaduct from the north (though some does). Those regions rely on a lot of water from the Colorado River, which is shared across multiple SW states before getting to CA.",at://did:plc:sug3wjwa37bl3jugqp6eat2d/app.bsky.feed.post/3lkrgpoom4k2t,lot water sustaining southern california san diego eastern la basin come ca aquaduct north though region rely lot water colorado river shared across multiple sw state getting ca,Crisis,San Diego,0.34,flood
voices4justice.bsky.social,2025-03-20T01:30:23.517Z,81,"""I joined Berkeley last summer and the campus has been fairly quiet. When I heard the administration was citing Jewish safety, I was concerned. Associating these measures with Jews isn't only unhelpful but hurts everyone.""",at://did:plc:dsa4uibhvbldyrnkkziijpsg/app.bsky.feed.post/3lkrkeizuf22z,joined berkeley last summer campus fairly quiet heard administration citing jewish safety concerned associating measure jew isnt unhelpful hurt everyone,Crisis,Berkeley,0.6784,societal crime
sdf.nws-bot.us,2025-03-20T01:30:34+00:00,9,"🚨 Severe Thunderstorm Warning issued March 19 at 9:26PM EDT until March 19 at 10:00PM EDT by NWS Louisville KY 🚨
Additional Details Here.",at://did:plc:is452bpf5sjtpmesp5rc3s7t/app.bsky.feed.post/3lkrkethqww25,severe thunderstorm warning issued march 19 926pm edt march 19 1000pm edt nw louisville ky additional detail,Crisis,Louisville,-0.6124,hurricane & tornado
render365.bsky.social,2025-03-20T01:30:35.802Z,76,What is more cringe than that Tesla fire sale out in front of the White House? Desperate clowns.,at://did:plc:u46tm42teb2c6nmpz7pr4ocp/app.bsky.feed.post/3lkrkeuqsgk2x,cringe tesla fire sale front white house desperate clown,Crisis,White House,-0.5719,wildfire
sabartsocial.bsky.social,2025-03-20T01:33:43.760Z,127,"Can you explain why you're able to recover US if you're two months behind on explicit warnings of internal genocide?

Are you aware that ""wait, nazi, don't stress me out"" condemns Europe, Canada, and all to be Gaza and Abu Ghraib?

Why the hell didn't we go there on day one to do your work?!",at://did:plc:gvc7f6cre3hwjzylegbcja7d/app.bsky.feed.post/3lkrkkhzcs22z,explain youre able recover u youre two month behind explicit warning internal genocide aware wait nazi dont stress condemns europe canada gaza abu ghraib hell didnt go day one work,Crisis,Gaza,-0.4526,societal crime
mikewilliss.bsky.social,2025-03-20T01:30:45.677Z,93,We condemn the criminal resumption of bombing in Gaza. cpaml.org/post4.php?id...  #FreePalestine  #Gaza  #auspol,at://did:plc:otpfqjfhbfivscyzg3t4m34r/app.bsky.feed.post/3lkrkf664z22g,condemn criminal resumption bombing gaza cpamlorgpost4phpid freepalestine gaza auspol,Crisis,Gaza,-0.7184,societal crime
newshq.bsky.social,2025-03-20T01:30:33.166554Z,112,"Russia and Ukraine conduct large prisoner exchange after Putin-Trump call

#news #worldnews",at://did:plc:lkxbi542caowxacwjnt4q5yx/app.bsky.feed.post/3lkrkfbcvdf2l,russia ukraine conduct large prisoner exchange putintrump call news worldnews,Crisis,Russia,-0.5423,earthquake
swsalley.bsky.social,2025-03-20T01:32:49.376Z,108,"This same storm blew through Las Cruces, New Mexico yesterday (or what will be 2 days earlier and 1990 miles away from the Capitol Building).  Note that Boise City, OK to Washington, DC was only 1555 miles away.

www.pbs.org/wgbh/america...

#DustBowl2025",at://did:plc:2h5jseya44nslklfsgbctzfy/app.bsky.feed.post/3lkrkiu5tbk2c,storm blew la crux new mexico yesterday 2 day earlier 1990 mile away capitol building note boise city ok washington dc 1555 mile away wwwpbsorgwgbhamerica dustbowl2025,Crisis,New Mexico,0.296,hurricane & tornado
mehtnarg.bsky.social,2025-03-20T01:32:51.385Z,128,"Rally in front of Ryan Zinke's Kalispell office
Kalispell Town Holler-March 18th, 2025
Empty Chair Town Hall Meeting
#kalispell #montana #flathead #mtpol #mtleg #mtnews #mobilize #indivisible #zinke #mtdems #SupportDemocracyInFlatheadValley #FlatheadDemocracy 
flatheaddemocracy@gmail.com",at://did:plc:rq2mr55dlrxf3giajactl3ob/app.bsky.feed.post/3lkrkiw2hpc2y,rally front ryan zinkes kalispell office kalispell town hollermarch 18th 2025 empty chair town hall meeting kalispell montana flathead mtpol mtleg mtnews mobilize indivisible zinke mtdems supportdemocracyinflatheadvalley flatheaddemocracy flatheaddemocracycom,Crisis,Kalispell,-0.2023,hurricane & tornado
veronicad1.bsky.social,2025-03-20T01:33:34.244Z,13,"The 1st half of my life I spent in tornado Alley. The 2nd half I moved to Florida 2 years before Andrew. I've survived 3 direct tornado hits. I've survived 20+ direct hurricane hits. I'll still take a hurricane over a tornado any day! You know when a hurricane's coming, tornado maybe minutes.",at://did:plc:7wgy6hurp4k5jy4ogqnmnvgv/app.bsky.feed.post/3lkrkk6wf7s2g,1st half life spent tornado alley 2nd half moved florida 2 year andrew ive survived 3 direct tornado hit ive survived 20 direct hurricane hit ill still take hurricane tornado day know hurricane coming tornado maybe minute,Crisis,Florida,0.5859,hurricane & tornado
tenletters.bsky.social,2025-03-20T01:45:33.985Z,12,"If I'm reading the article correctly, the Miami Beach mayor was supported by two other local mayors (Miami, Hialeah) who called into the meeting —and in the case of the Miami mayor, got booed. Sad story in your government as usual, Florida… but have seen worse (props to the 5 out of 6 commissioners)",at://did:plc:yv2yzj4wkpmkptrz2djlauwz/app.bsky.feed.post/3lkrl7nd6bc27,im reading article correctly miami beach mayor supported two local mayor miami hialeah called meeting case miami mayor got booed sad story government usual florida seen worse prop 5 6 commissioner,Crisis,Miami,-0.5994,hurricane & tornado
instantdistractions.com,2025-03-20T01:45:32.143Z,31,Why is Toronto even considering limiting protests on public property... this is wrong in so many ways. Once this law is in place the definition of what is considered vulnerable space will just expand at the whims of whoever is in power until you can't legally protest anywhere.,at://did:plc:2m7dbholwahirxoh5l7yjqh6/app.bsky.feed.post/3lkrl7lkwhk2n,toronto even considering limiting protest public property wrong many way law place definition considered vulnerable space expand whim whoever power cant legally protest anywhere,Crisis,Toronto,-0.7181,societal crime
charluv.bsky.social,2025-03-20T01:45:32.200Z,63,"Women in #Texas Are Dying
#Republicans pressured to “clarify” state #abortionban Fun Fact Texas & other states are Hiding the Data on how many Preventable Deaths there are due to #Abortion Restrictions. Via 
#DANRATHER AND TEAM STEADY steady.substack.com/p/women-in-t...",at://did:plc:skj6s2zwuqf4g5fqz6tapnbh/app.bsky.feed.post/3lkrl7lmp422f,woman texas dying republican pressured clarify state abortionban fun fact texas state hiding data many preventable death due abortion restriction via danrather team steady steadysubstackcompwomenint,Crisis,Texas,-0.7003,disease
sapsquatch.bsky.social,2025-03-20T01:46:04.163Z,14,Yeah they were sent home to a high security gulag in El Salvador,at://did:plc:nmn67se4ffzczolirt2rcsql/app.bsky.feed.post/3lkrlak44xs2v,yeah sent home high security gulag el salvador,Crisis,El Salvador,0.5574,societal crime
